1343,845,917,977,990,1087,1151,1226,1299,1308,1387,1483,1592,1639,1709,1853,1882,1977,2010,2251,2348,2563,2607,2753,2853,3002,3104,3345,3550,3607,3763,3937,4250,4383,4346,4609,4791,4980,5155,5545,5660,5761,6048,6239,6399,6695,6948,7104,7280,7592,7664,7884,8121,8474,8650,8931,9264,9629,9754,9998,10205,10459,10859,11069,11214,11633,11673,12098,12171,12518,12785,12911,13262,13369,13708,14240,14355,14596,14690,15161,15106,15323,15490,15954,16202,16332,16805,16897,17107,17441,17581,18012,18247,18415,18700,18776,19003,19450,19623,19873,20053,20108,20271,20589,20944,20850,21263,21450,21527,21562,21787,22163,22119,22600,22676,22533,22661,23215,23280,23114,23507,23593,23790,23751,24145,24055,23992,24166,24437,24402,24446,24751,24683,24844,25004,24978,24981,25003,25349,25068,25371,25714,25901,25668,25593,25687,26041,25972,26104,25837,25985,25849,26034,25944,25948,26118,26206,26157,26340,26105,26140,25786,25946,26191,26212,26035,25985,25943,25932,26040,26089,25860,26113,25944,25783,25875,25765,25940,25457,25275,25625,25466,25477,25206,24735,24970,24767,24631,24535,24453,24172,23870,23598,23018,22338,21904,21202,20251,19207,0,
1467,923,967,1043,1024,1098,1283,1275,1395,1402,1529,1635,1700,1819,1882,1966,2098,2122,2281,2415,2562,2740,2810,3030,3163,3320,3454,3609,3844,3950,4069,4404,4569,4801,4817,4922,5211,5580,5660,5978,6182,6432,6569,6812,7175,7333,7671,7781,7956,8172,8477,8597,9054,9227,9656,9745,10216,10442,10662,11043,11264,11520,11780,11973,12112,12446,12645,13174,13564,13909,14043,14203,14536,14709,15066,15206,15554,15871,16146,16392,16724,16840,17247,17550,17582,18032,18425,18619,18648,19124,19460,19616,19825,20048,20580,20596,20847,21077,21276,21787,21743,21927,22225,22429,22827,23075,23331,23457,23609,23530,23957,24084,24106,24524,24785,24691,24826,25118,25005,25176,25641,25805,26090,26174,26260,26166,26305,26561,26609,26589,26884,26798,26941,27104,27443,27436,27489,27323,27391,27576,27859,27781,27958,27864,27811,28063,28284,28091,28035,28339,28345,28675,28730,28707,28772,28670,28727,28838,28551,28317,28298,28424,28750,28596,28086,28502,28380,28391,28535,28614,28579,28610,28370,28270,28221,28151,28251,28148,28057,28089,27893,27770,27883,27502,27378,27297,27153,26848,26776,26619,26365,25880,25435,24790,24471,24138,23338,22055,21647,0,
1536,906,984,1082,1106,1187,1330,1340,1435,1484,1600,1741,1822,1954,2060,2116,2255,2367,2549,2667,2903,2999,3159,3288,3377,3700,3825,3960,4176,4422,4637,4769,4976,5244,5561,5641,5936,6159,6223,6594,6660,7080,7259,7600,7835,8036,8494,8451,8778,9149,9407,9741,10026,10196,10577,11017,11282,11618,12044,12173,12543,12715,13109,13236,13569,13915,14325,14857,15128,15251,15479,15875,16125,16540,16856,16893,17169,17394,17707,17982,18522,18891,19134,19284,19653,20064,20473,20556,20692,21201,21576,21703,22020,22153,22546,22882,23188,23320,23601,23947,24374,24508,24767,24924,25003,25395,25622,25922,26009,25720,26186,26802,26855,27100,27151,27341,27485,27513,27872,27916,28309,28422,28604,28792,28864,29139,29242,29023,29125,29337,29736,29695,30090,29811,30443,30192,30180,30476,30412,30388,30431,30886,31006,31118,30835,30806,30792,30703,30921,30923,31403,31467,31413,31501,31250,31048,31359,31690,31319,31545,31632,31429,31350,31266,31188,31425,31140,31279,31261,31306,31251,31496,31077,31166,31079,31284,31257,31396,30975,30924,30688,30665,30701,30248,30064,29985,29926,29698,29391,28994,29059,28591,28196,27363,26926,26463,25631,24200,24161,0,
1641,1015,1103,1163,1207,1269,1412,1523,1483,1574,1692,1849,2038,2081,2213,2292,2482,2476,2750,2974,3084,3180,3352,3451,3741,4040,4038,4293,4595,4751,5132,5270,5488,5680,6005,6266,6498,6644,6846,7296,7551,7726,8037,8420,8681,9115,9182,9485,9901,10073,10484,10896,10817,11377,11775,12134,12423,12984,12975,13175,13713,13859,14309,14740,15100,15381,15756,16067,16373,16828,17122,17515,17836,18161,18263,18794,18941,19445,19431,19925,20346,20819,21090,21256,21881,22044,22213,22298,22891,23126,23723,23841,24205,24148,24682,25259,25451,25630,25962,26201,26579,26720,27249,27464,27485,27817,28118,28198,28241,28356,28669,28967,29144,29537,29435,29495,30051,30010,30476,30762,30896,31192,31529,31582,31690,31773,31423,31720,31800,31850,32445,32610,32588,32780,32955,32952,32739,32903,33316,33372,33109,33497,33464,33443,33613,33391,33647,33822,34054,34002,34012,34084,33975,33918,33898,33995,34263,34458,34147,34109,34071,34077,33758,33824,33722,33893,33978,33808,33857,33812,34111,34305,33720,33843,33857,33812,33744,33586,33402,33318,33385,33188,32745,33025,32851,32790,32584,32271,32175,31781,31510,30749,30209,29601,29248,28511,27684,26364,26050,0,
1716,1034,1141,1214,1320,1320,1494,1595,1688,1812,1828,2039,2187,2276,2309,2423,2558,2735,2950,3189,3321,3494,3672,3859,4014,4273,4522,4734,5069,5289,5625,5815,6011,6310,6561,6828,7111,7319,7456,8051,8196,8322,8828,9237,9571,9839,10202,10415,10833,11094,11362,11750,12212,12397,12949,13308,13684,13874,14205,14313,14901,15343,15698,15987,16507,16827,17321,17658,18180,18565,18748,19285,19720,19829,19974,20295,20786,21258,21550,21848,22445,22576,22985,23446,23809,23928,24341,24497,24717,25247,25677,25915,26188,26407,26862,27205,27574,28092,28176,28543,28830,28965,29221,29339,29884,30096,30476,30476,30814,30955,31124,31218,31537,31906,32091,32596,32535,32885,32971,33012,33352,33775,34115,33926,33956,34144,34383,34605,34494,34618,35034,35044,34920,35175,35656,35361,35371,35653,36015,35886,35861,36155,35996,36442,36180,36362,36388,36434,36879,36711,36898,36558,36562,36607,36981,36955,36791,36335,36388,36741,36520,36574,36706,36419,36651,36532,36384,36653,36575,36506,36615,36830,36439,36252,35943,36132,36245,36387,36120,35881,35618,35427,35263,35508,35510,35211,34858,34570,34275,33791,33642,33151,32364,32157,31496,30601,29815,28454,28050,0,
1810,1122,1211,1221,1406,1460,1504,1720,1754,1945,2080,2157,2322,2405,2521,2678,2727,2967,3170,3283,3619,3764,4027,4186,4448,4676,5034,5178,5446,5630,5971,6260,6537,6860,7146,7396,7538,7904,8417,8788,9089,9354,9616,10060,10505,10523,10877,11470,11720,11813,12467,12900,13174,13839,14097,14619,14823,15095,15409,15943,16444,16753,17224,17621,18023,18513,18891,19276,19610,20174,20573,21123,21153,21588,21864,22078,22524,22769,23444,23760,24467,24623,25050,25285,25418,25913,26244,26556,26902,27371,27896,28094,28171,28798,29113,29668,29827,30367,30585,30817,30958,31265,31515,32004,32184,32520,32950,32994,33237,33366,33482,33629,34095,34484,34453,34753,34894,35313,35815,36016,35799,36450,36459,36497,36553,36919,36984,36991,37160,37454,37887,37725,37911,37799,37868,38294,38728,38258,38786,38765,38522,38538,38835,38928,39090,38960,38922,38888,39042,39273,39143,39238,39221,39428,39090,39328,39258,39493,39162,39331,39058,39208,39427,39364,39595,39385,38850,38892,39240,39100,39044,38914,38554,38481,38663,39083,38894,38774,38087,38340,38182,38047,37986,38009,37319,37276,37124,37170,36564,36036,35656,35448,34962,34442,33772,32928,32129,31026,30390,0,
1917,1194,1332,1379,1451,1612,1656,1830,1906,2026,2180,2228,2390,2591,2782,2884,3084,3215,3581,3638,3823,4247,4373,4561,4943,5226,5270,5554,5878,6183,6633,6766,7038,7288,7689,8040,8387,8699,9059,9608,9827,10263,10346,10945,11437,11696,12106,12436,12896,13170,13661,13794,14417,14999,15411,15588,16107,16542,16864,17320,17909,18231,18847,19297,19731,19927,20616,21214,21504,22038,22308,22847,23230,23493,23736,24070,24646,25039,25584,26075,26502,26661,27000,27540,27836,28002,28455,28757,29172,29753,30391,30611,30632,31492,31517,31901,32151,32848,33128,33179,33559,34155,34643,34671,34984,35146,35537,36035,36021,35973,36196,36413,37067,37135,37388,37749,37433,37617,37934,38368,38474,39015,39471,39417,39455,39805,39986,40108,40093,40445,40489,40409,40527,40820,40925,41158,41238,41253,40915,41449,41554,41347,41928,41654,41929,41868,41793,41916,41686,41734,41526,42022,41897,41828,41902,42007,41984,42286,41945,42005,42114,42078,41965,42146,41799,41933,41607,41442,41745,41807,41684,41577,41567,41162,41394,41325,41427,41043,40924,40928,40905,40576,40342,40226,39919,39929,39921,39573,38907,38855,38576,37872,37227,37060,35985,35063,34243,33088,32138,0,
2071,1211,1390,1399,1545,1635,1800,1865,2018,2127,2217,2449,2519,2810,2905,3148,3383,3506,3796,3914,4236,4477,4829,5033,5352,5590,5654,6050,6481,6794,7010,7270,7703,8152,8338,8757,9138,9627,9990,10361,10892,11244,11524,11931,12482,12707,13077,13567,14143,14499,14915,15238,15846,16181,16526,17131,17509,18106,18643,19168,19380,20030,20325,20975,21227,21621,22477,22929,23235,23847,24138,24602,25133,25642,25745,26179,26845,27142,27747,28586,28607,29093,29329,29659,30208,30534,31166,31333,32139,32268,32716,33108,33724,34256,34526,34835,35362,35607,36052,36423,36648,37068,37296,37418,37422,37917,38036,38312,38728,38864,39133,39571,40226,40251,40563,40680,40497,40642,41246,41350,41360,41703,41968,41982,42023,42680,42869,42973,43262,43053,43281,43216,43763,43813,43779,44156,44115,44397,44743,44595,44754,44691,44475,44768,44657,44832,45038,44596,44587,44750,45175,44750,44820,44998,44829,45103,45032,44863,44708,45005,44943,44963,44696,44962,44727,44571,44471,44663,44468,44427,44629,44068,44383,44261,44203,44096,43852,44054,44175,43883,43358,43300,42966,42711,42915,42336,42131,41926,41360,41124,40863,40379,39915,39221,38384,37730,36535,34916,34116,0,
2109,1308,1437,1541,1636,1812,1911,2074,2193,2259,2466,2535,2781,3024,3144,3448,3614,3865,4043,4309,4463,4932,5097,5493,5768,6151,6346,6496,7003,7311,7658,7942,8426,8762,9150,9676,9916,10248,10870,11369,11778,12158,12614,13093,13661,14054,14399,14806,15325,15734,16313,16881,17256,17879,18160,18687,19184,19850,20440,21042,21508,21758,22277,22744,23183,23814,24451,24841,25320,26095,26347,26760,27338,27746,28385,28597,29154,29770,30305,30871,30812,31655,32162,32611,32919,33495,33677,34157,34935,35144,35553,35898,36483,37055,37324,38123,38360,38666,39027,39415,39724,40045,40256,40330,40581,40880,41262,41473,41854,42157,42294,42692,43271,43137,43345,43620,43781,44012,44403,44635,44837,44926,44895,45327,45766,45972,46058,46259,46567,46385,46762,46570,47181,47298,47469,47601,47441,47286,47374,47403,47791,47942,47933,47864,48068,48172,47933,47868,48062,48262,48388,48158,48451,48289,48340,48399,48176,48023,48187,48328,47940,47922,47826,47819,47470,47799,47742,47891,47555,47423,47452,47269,47489,47435,47096,47073,46618,47025,46781,46870,46053,45707,45969,45785,45224,45105,44872,44584,43882,43700,43199,42940,42082,41758,41126,40198,39150,37409,36669,0,
2265,1414,1538,1634,1789,1928,1971,2178,2373,2454,2637,2840,2988,3224,3419,3751,3905,4198,4526,4811,4937,5301,5585,6003,6389,6520,6958,7197,7667,8099,8363,8673,9152,9655,10186,10487,10928,11299,11876,12347,12877,13530,13805,14436,14852,15327,15796,16225,16800,17414,17965,18267,18747,19376,20078,20681,21199,21676,22450,22817,23585,24006,24631,25132,25495,26062,26729,27407,27628,28339,28745,29328,29955,30412,30668,31182,32044,32250,32871,33593,33948,34625,34938,35229,35619,35996,36811,37320,37903,38280,38662,38854,39491,39920,40069,40633,41245,41532,42064,42825,42602,43189,43757,43577,44135,44024,44673,44463,45257,45604,45721,46237,46143,46172,46225,46789,46939,47712,47945,47990,48495,48778,49165,49523,49668,49496,49957,50134,49770,49804,50073,50022,50381,50588,50643,50734,51012,50750,51075,51155,51208,50763,51231,51072,51220,50827,51081,51065,51162,51719,51861,51731,51379,51616,52025,51907,51817,51001,51046,51270,51444,50980,51044,50957,50605,51032,51029,51025,50555,50630,50768,50563,50724,50409,50269,50055,49935,49402,49412,49029,48902,49125,48731,48658,48495,47870,48141,47170,46865,46572,46333,45662,45153,44454,43817,42738,41702,40036,39013,0,
